Identity event source starting - sending synthetic events to http://host.docker.internal:2500/identity/score every 3.0s
[16:58:27]    OK (injected normal) :: U1006@DOM1 on C1028 (Negotiate/Network, Success) score=0.234
[16:58:30]    OK (injected normal) :: U1022@DOM1 on C1020 (Negotiate/Interactive, Success) score=0.097
[16:58:33]    OK (injected normal) :: U1020@DOM1 on C1016 (Negotiate/Network, Success) score=0.231
[16:58:36]    OK (injected normal) :: U1016@DOM1 on C1020 (Kerberos/Interactive, Success) score=0.150
[16:58:39]    OK (injected normal) :: U1004@DOM1 on C1038 (NTLM/Network, Success) score=0.186
[16:58:42] ALERT (injected suspicious) :: guest@DOM1 on C1047 (TotallyUnrecognizedAuth/RemoteInteractive, Fail) score=-0.025
[16:58:43] ALERT (injected suspicious) :: guest@DOM1 on C1038 (LegacyProtocolXYZ/NewCredentials, Fail) score=-0.015
[16:58:43] ALERT (injected suspicious) :: guest@DOM1 on C1021 (UnverifiedCustomAuth/RemoteInteractive, Fail) score=-0.028
[16:58:43] ALERT (injected suspicious) :: guest@DOM1 on C1007 (TotallyUnrecognizedAuth/NewCredentials, Fail) score=-0.014
[16:58:44] ALERT (injected suspicious) :: guest@DOM1 on C1035 (LegacyProtocolXYZ/NewCredentials, Fail) score=-0.029
[16:58:44] ALERT (injected suspicious) :: guest@DOM1 on C1018 (UnverifiedCustomAuth/NewCredentials, Fail) score=-0.030
[16:58:44] ALERT (injected suspicious) :: guest@DOM1 on C1034 (UnverifiedCustomAuth/NewCredentials, Fail) score=-0.028
[16:58:45] ALERT (injected suspicious) :: guest@DOM1 on C1049 (LegacyProtocolXYZ/RemoteInteractive, Fail) score=-0.027
[16:58:45] ALERT (injected suspicious) :: guest@DOM1 on C1041 (LegacyProtocolXYZ/RemoteInteractive, Fail) score=-0.012
[16:58:45] ALERT (injected suspicious) :: guest@DOM1 on C1005 (UnverifiedCustomAuth/NewCredentials, Fail) score=-0.029
[16:58:49]    OK (injected normal) :: U1039@DOM1 on C1014 (NTLM/Interactive, Success) score=0.067
[16:58:52] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1031 (TotallyUnrecognizedAuth/NewCredentials, Fail) score=-0.005
[16:58:52] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1018 (LegacyProtocolXYZ/NewCredentials, Fail) score=-0.006
[16:58:52] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1022 (LegacyProtocolXYZ/NewCredentials, Fail) score=-0.025
[16:58:53] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1023 (UnverifiedCustomAuth/RemoteInteractive, Fail) score=-0.015
[16:58:53] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1041 (LegacyProtocolXYZ/RemoteInteractive, Fail) score=-0.015
[16:58:53] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1017 (LegacyProtocolXYZ/RemoteInteractive, Fail) score=-0.015
[16:58:54] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1049 (UnverifiedCustomAuth/RemoteInteractive, Fail) score=-0.026
[16:58:54] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1019 (LegacyProtocolXYZ/RemoteInteractive, Fail) score=-0.015
[16:58:54] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1020 (UnverifiedCustomAuth/RemoteInteractive, Fail) score=-0.013
[16:58:54] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1000 (LegacyProtocolXYZ/RemoteInteractive, Fail) score=-0.014
[16:58:58]    OK (injected normal) :: U1002@DOM1 on C1002 (Kerberos/Service, Success) score=0.167
[16:59:01]    OK (injected normal) :: U1031@DOM1 on C1042 (Kerberos/Service, Success) score=0.181
[16:59:04]    OK (injected normal) :: U1010@DOM1 on C1039 (Negotiate/Interactive, Success) score=0.080
[16:59:07]    OK (injected normal) :: U1007@DOM1 on C1028 (Kerberos/Interactive, Success) score=0.147
[16:59:10]    OK (injected normal) :: U1021@DOM1 on C1049 (Negotiate/Interactive, Success) score=0.099
[16:59:13]    OK (injected normal) :: U1035@DOM1 on C1017 (NTLM/Network, Success) score=0.120
[16:59:16]    OK (injected normal) :: U1001@DOM1 on C1027 (Kerberos/Interactive, Success) score=0.117
[16:59:19]    OK (injected normal) :: U1027@DOM1 on C1025 (Kerberos/Network, Success) score=0.240
[16:59:22]    OK (injected normal) :: U1012@DOM1 on C1048 (NTLM/Service, Success) score=0.120
[16:59:25] ALERT (injected suspicious) :: ANONYMOUS LOGON@C8123 on C1026 (UnverifiedCustomAuth/RemoteInteractive, Fail) score=-0.014
[16:59:25] ALERT (injected suspicious) :: ANONYMOUS LOGON@C8123 on C1003 (LegacyProtocolXYZ/NewCredentials, Fail) score=-0.014
[16:59:26] ALERT (injected suspicious) :: ANONYMOUS LOGON@C8123 on C1048 (UnverifiedCustomAuth/RemoteInteractive, Fail) score=-0.014
[16:59:26] ALERT (injected suspicious) :: ANONYMOUS LOGON@C8123 on C1030 (UnverifiedCustomAuth/RemoteInteractive, Fail) score=-0.014
[16:59:26] ALERT (injected suspicious) :: ANONYMOUS LOGON@C8123 on C1040 (TotallyUnrecognizedAuth/RemoteInteractive, Fail) score=-0.028
[16:59:27] ALERT (injected suspicious) :: ANONYMOUS LOGON@C8123 on C1031 (UnverifiedCustomAuth/RemoteInteractive, Fail) score=-0.027
[16:59:27] ALERT (injected suspicious) :: ANONYMOUS LOGON@C8123 on C1009 (LegacyProtocolXYZ/NewCredentials, Fail) score=-0.014
[16:59:27] ALERT (injected suspicious) :: ANONYMOUS LOGON@C8123 on C1023 (UnverifiedCustomAuth/NewCredentials, Fail) score=-0.029
[16:59:28] ALERT (injected suspicious) :: ANONYMOUS LOGON@C8123 on C1005 (TotallyUnrecognizedAuth/NewCredentials, Fail) score=-0.014
[16:59:28] ALERT (injected suspicious) :: ANONYMOUS LOGON@C8123 on C1017 (TotallyUnrecognizedAuth/RemoteInteractive, Fail) score=-0.014
[16:59:28] ALERT (injected suspicious) :: ANONYMOUS LOGON@C8123 on C1018 (TotallyUnrecognizedAuth/NewCredentials, Fail) score=-0.014
[16:59:29] ALERT (injected suspicious) :: ANONYMOUS LOGON@C8123 on C1015 (LegacyProtocolXYZ/RemoteInteractive, Fail) score=-0.018
[16:59:32]    OK (injected normal) :: U1031@DOM1 on C1028 (Negotiate/Service, Success) score=0.150
[16:59:35] ALERT (injected suspicious) :: guest@DOM1 on C1006 (UnverifiedCustomAuth/NewCredentials, Fail) score=-0.014
[16:59:35] ALERT (injected suspicious) :: guest@DOM1 on C1032 (LegacyProtocolXYZ/NewCredentials, Fail) score=-0.014
[16:59:36] ALERT (injected suspicious) :: guest@DOM1 on C1007 (LegacyProtocolXYZ/RemoteInteractive, Fail) score=-0.029
[16:59:36] ALERT (injected suspicious) :: guest@DOM1 on C1018 (UnverifiedCustomAuth/NewCredentials, Fail) score=-0.029
[16:59:36] ALERT (injected suspicious) :: guest@DOM1 on C1003 (TotallyUnrecognizedAuth/NewCredentials, Fail) score=-0.029
[16:59:36] ALERT (injected suspicious) :: guest@DOM1 on C1016 (TotallyUnrecognizedAuth/NewCredentials, Fail) score=-0.017
[16:59:37] ALERT (injected suspicious) :: guest@DOM1 on C1011 (LegacyProtocolXYZ/NewCredentials, Fail) score=-0.033
[16:59:37] ALERT (injected suspicious) :: guest@DOM1 on C1044 (TotallyUnrecognizedAuth/NewCredentials, Fail) score=-0.018
[16:59:37] ALERT (injected suspicious) :: guest@DOM1 on C1049 (LegacyProtocolXYZ/NewCredentials, Fail) score=-0.034
[16:59:38] ALERT (injected suspicious) :: guest@DOM1 on C1043 (UnverifiedCustomAuth/NewCredentials, Fail) score=-0.034
[16:59:41]    OK (injected normal) :: U1012@DOM1 on C1029 (NTLM/Interactive, Success) score=0.070
[16:59:44]    OK (injected normal) :: U1001@DOM1 on C1046 (Negotiate/Service, Success) score=0.110
[16:59:47]    OK (injected normal) :: U1025@DOM1 on C1036 (NTLM/Network, Success) score=0.125
[16:59:50]    OK (injected normal) :: U1010@DOM1 on C1034 (NTLM/Interactive, Success) score=0.067
[16:59:53] ALERT (injected suspicious) :: guest@DOM1 on C1009 (LegacyProtocolXYZ/RemoteInteractive, Fail) score=-0.017
[16:59:54] ALERT (injected suspicious) :: guest@DOM1 on C1043 (TotallyUnrecognizedAuth/NewCredentials, Fail) score=-0.033
[16:59:54] ALERT (injected suspicious) :: guest@DOM1 on C1035 (TotallyUnrecognizedAuth/RemoteInteractive, Fail) score=-0.033
[16:59:54] ALERT (injected suspicious) :: guest@DOM1 on C1039 (TotallyUnrecognizedAuth/RemoteInteractive, Fail) score=-0.016
[16:59:54] ALERT (injected suspicious) :: guest@DOM1 on C1003 (UnverifiedCustomAuth/NewCredentials, Fail) score=-0.017
[16:59:55] ALERT (injected suspicious) :: guest@DOM1 on C1013 (TotallyUnrecognizedAuth/NewCredentials, Fail) score=-0.017
[16:59:55] ALERT (injected suspicious) :: guest@DOM1 on C1030 (LegacyProtocolXYZ/NewCredentials, Fail) score=-0.033
[16:59:55] ALERT (injected suspicious) :: guest@DOM1 on C1044 (UnverifiedCustomAuth/RemoteInteractive, Fail) score=-0.015
[16:59:59]    OK (injected normal) :: U1007@DOM1 on C1009 (Kerberos/Service, Success) score=0.189
[17:00:02]    OK (injected normal) :: U1014@DOM1 on C1046 (Kerberos/Interactive, Success) score=0.138
[17:00:05]    OK (injected normal) :: U1024@DOM1 on C1049 (NTLM/Interactive, Success) score=0.067
[17:00:08]    OK (injected normal) :: U1016@DOM1 on C1042 (Kerberos/Network, Success) score=0.245
[17:00:11] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1034 (LegacyProtocolXYZ/NewCredentials, Fail) score=-0.027
[17:00:11] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1009 (UnverifiedCustomAuth/RemoteInteractive, Fail) score=-0.013
[17:00:11] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1010 (TotallyUnrecognizedAuth/NewCredentials, Fail) score=-0.012
[17:00:12] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1030 (LegacyProtocolXYZ/NewCredentials, Fail) score=-0.029
[17:00:12] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1025 (TotallyUnrecognizedAuth/RemoteInteractive, Fail) score=-0.029
[17:00:12] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1037 (LegacyProtocolXYZ/RemoteInteractive, Fail) score=-0.014
[17:00:13] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1024 (TotallyUnrecognizedAuth/RemoteInteractive, Fail) score=-0.014
[17:00:13] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1015 (UnverifiedCustomAuth/NewCredentials, Fail) score=-0.014
[17:00:13] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1032 (UnverifiedCustomAuth/RemoteInteractive, Fail) score=-0.018
[17:00:17]    OK (injected normal) :: U1036@DOM1 on C1000 (Negotiate/Service, Success) score=0.159
[17:00:20]    OK (injected normal) :: U1014@DOM1 on C1043 (Kerberos/Interactive, Success) score=0.150
[17:00:23] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1014 (LegacyProtocolXYZ/NewCredentials, Fail) score=-0.033
[17:00:23] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1047 (TotallyUnrecognizedAuth/NewCredentials, Fail) score=-0.033
[17:00:23] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1023 (UnverifiedCustomAuth/NewCredentials, Fail) score=-0.034
[17:00:24] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1039 (TotallyUnrecognizedAuth/NewCredentials, Fail) score=-0.018
[17:00:24] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1033 (UnverifiedCustomAuth/NewCredentials, Fail) score=-0.034
[17:00:24] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1028 (TotallyUnrecognizedAuth/RemoteInteractive, Fail) score=-0.017
[17:00:25] ALERT (injected suspicious) :: ANONYMOUS LOGON@C9999 on C1018 (LegacyProtocolXYZ/NewCredentials, Fail) score=-0.033
